ID,trial,order,arena,time,date,pellets,locomotion,echo,flights,grooming,latencyEnter,latencyHD12,latencyHD34,HD12,HD34,lines
0006EE29D3,1,1,2,0:12,18-Jul,2,,,,,,,,,,
0006F24C83,1,2,1,0:26,18-Jul,0,587,13,43,0,1,600,600,0,0,72
0006A94560,1,4,1,0:56,18-Jul,1,588,12,18,0,4,472,600,7,0,84
0006C77188,1,5,2,1:09:30,18-Jul,2,566,34,40,0,0,503,309,2,3,96
0006A94482,1,6,1,1:23,18-Jul,0,437,63,44,0,0,405,583,1,1,81
0006EB35A6,1,7,2,1:36,18-Jul,3,481,119,26,0,0,447,600,2,0,55
00069D3BB1,1,8,1,1:49,18-Jul,1,536,64,31,0,5,52,3,2,1,60
0006A94433,1,9,2,2:09,18-Jul,0,148,452,0,9,25,600,600,0,0,10
0006F23BA0,1,10,1,2:22,18-Jul,5,544,56,28,0,6,600,600,0,0,61
0006F20375,1,11,2,2:35,18-Jul,2,525,63,10,12,0,600,363,0,2,48
0006E92725,1,12,1,2:48,18-Jul,0,508,92,17,0,0,239,600,1,0,51
0006F23FC1,1,13,2,3:02,18-Jul,0,273,327,9,0,14,98,600,1,0,32
0006EE3538,1,14,1,3:15,18-Jul,0,535,65,34,0,0,139,600,1,0,65
0006C87335,1,15,2,3:28,18-Jul,1,573,27,12,0,7,600,390,0,1,74
0006EA2D24,1,16,1,3:40:30,18-Jul,1,579,21,24,0,0,558,600,2,0,79
0006D75739,1,3,2,0:41,18-Jul,0,597,3,72,0,5,119,600,2,0,134
0006EA298F,2,1,1,23:52,20-Jul,5,598,2,23,0,0,600,336,0,2,53
0006EA355C,2,2,2,0:07,21-Jul,2,493,92,34,15,16,230,600,5,0,71
0006EB30BA,2,3,1,0:21,21-Jul,0,513,85,13,2,0,305,600,2,0,39
0006D75D2A,2,4,2,0:33:30,21-Jul,4,579,19,18,2,4,600,600,0,0,54
00069D2030,2,5,1,0:46,21-Jul,2,538,62,36,0,0,600,600,0,0,46
0006EA1A80,2,6,2,0:59,21-Jul,2,587,13,9,0,14,600,290,0,1,42
0006F23155,2,7,1,1:12,21-Jul,0,503,97,46,0,8,404,231,1,2,91
0006DFB2CF,2,8,2,1:26,21-Jul,5,349,129,27,122,3,600,600,0,0,31
0006F25426,2,9,1,1:40:30,21-Jul,0,298,250,2,52,44,401,600,4,0,30
0006F2519F,2,10,2,1:53,21-Jul,4,528,72,51,0,4,600,526,0,1,66
0006F2274A,2,11,1,2:06,21-Jul,0,497,64,5,39,15,208,242,2,1,41
0006EA5C41,2,12,2,2:18:30,21-Jul,0,404,187,0,9,0,600,600,0,0,25
0006EA2D5F,2,13,1,2:33,21-Jul,0,571,29,47,0,25,317,408,5,1,72
0006C76FFA,2,14,2,2:46,21-Jul,0,600,0,7,0,0,244,600,1,0,36
0006EA515D,2,15,1,2:58:30,21-Jul,0,63,537,0,0,0,600,600,0,0,3
0006F236CF,3,1,1,23:51,27-Jul,1,535,65,32,0,23,600,600,0,0,67
0006C75C20,3,2,2,0:04,28-Jul,0,416,58,20,126,0,205,600,2,0,50
0006D776D1,3,3,1,0:16:30,28-Jul,0,204,396,0,15,0,600,600,0,0,8
0006EE199D,3,4,2,0:30,28-Jul,0,532,68,28,0,13,600,111,0,3,67
0006E9B60D,3,5,1,0:44,28-Jul,1,542,58,6,0,0,360,494,1,2,30
0006A9489D,3,6,2,0:58,28-Jul,1,248,352,0,0,41,600,600,0,0,11
0006A9EE51,3,7,1,1:11,28-Jul,0,372,228,0,0,0,600,600,0,0,19
0006C88DAA,3,8,2,1:25,28-Jul,2,522,78,45,0,0,182,600,1,0,64
0006F2261E,3,9,1,1:39:30,28-Jul,0,580,20,44,0,0,349,600,7,0,98
0006D1B7FC,3,10,2,1:52:30,28-Jul,1,552,48,25,0,10,225,328,3,1,55
0006F23C6E,3,11,1,2:05:30,28-Jul,0,434,147,28,19,0,600,600,0,0,59
0006C77E87,3,12,2,2:18,28-Jul,0,559,41,62,0,45,125,461,1,1,92
0006F1EC08,3,13,1,2:32,28-Jul,0,113,472,0,15,3,600,600,0,0,7
0006C74AE3,3,14,2,2:45:30,28-Jul,1,555,45,16,0,39,244,600,3,0,46
0006D7903C,3,15,1,2:58:30,28-Jul,0,577,14,27,9,0,491,600,1,0,57
0006EE49E3,3,16,2,3:11,28-Jul,0,543,57,18,0,0,260,600,2,1,50
0006DE69A4,4,1,1,23:16,05-Aug-14,0,502,98,16,0,0,600,600,0,0,39
0006DEADF3,4,2,2,23:28:30,05-Aug-14,5,567,33,34,0,9,600,145,0,1,62
0006E9D973,4,3,1,23:41:30,05-Aug-14,2,598,2,59,0,23,199,263,1,1,105
0006F24D69,4,4,2,23:54:30,05-Aug-14,1,378,222,8,0,0,600,600,0,0,37
0006D74F66,4,5,1,0:08:30,06-Aug-14,1,538,62,27,9,4,251,248,4,3,72
0006F23B1E,4,6,2,0:21,06-Aug-14,0,324,276,15,0,26,266,237,5,1,32
0006C7662C,4,7,1,0:34:30,06-Aug-14,8,584,16,32,0,0,4,2,3,1,74
0006C781EC,4,8,2,0:47,06-Aug-14,1,436,164,17,0,0,600,600,0,0,48
0006DE9621,4,9,1,1:00,06-Aug-14,1,586,14,77,0,4,600,600,0,0,124
00069D1852,4,10,2,1:12:30,06-Aug-14,0,395,43,25,162,11,600,600,0,0,54
0006F1FA46,4,11,1,1:25:30,06-Aug-14,0,522,78,26,4,15,421,266,2,4,72
0006A9440F,4,12,2,1:39,06-Aug-14,0,108,472,10,20,0,600,600,0,0,11
0006EA32D0,4,13,1,1:55:30,06-Aug-14,0,460,140,35,0,18,600,168,0,2,73
0006C88832,4,14,2,2:07:30,06-Aug-14,0,515,85,43,0,0,127,600,2,0,70
0006EE27FD,4,15,1,2:23,06-Aug-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0006C75311,4,16,2,2:36,06-Aug-14,0,351,223,11,26,0,249,600,5,0,38
0006A9474D,5,1,2,23:01,08-Aug-14,0,583,17,52,0,0,391,448,10,2,85
0006C899E8,5,2,1,23:14:30,08-Aug-14,0,585,15,120,0,32,426,576,2,4,156
0006F2481C,5,3,2,23:28:30,08-Aug-14,0,168,432,16,0,0,118,600,1,0,34
0006F2286F,5,4,1,23:42:30,08-Aug-14,1,547,53,47,0,0,600,600,0,0,72
0006DFB3BF,5,5,2,23:55,08-Aug-14,0,555,45,83,0,14,40,600,4,0,98
00069D10B5,5,6,1,0:08,09-Aug-14,0,551,49,44,0,0,600,600,0,0,75
0006D11E2D,5,7,2,0:21,09-Aug-14,1,448,152,14,0,0,600,474,0,2,49
0006E92EE4,5,8,1,0:34,09-Aug-14,0,530,70,50,0,6,600,600,0,0,83
