ID,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,Trial,p.zero
0006EE29D3,NA,NA,NA,NA,NA,NA,1,no
0006F24C83,0.0271,18,0.0082,0.1254,11,7,1,no
0006A94560,0.0058,8,0.0032,0.0228,4,4,1,no
0006C77188,0.0235,12,0.0193,0.0779,8,4,1,no
0006A94482,0.0726,55,0.0642,0.1278,49,6,1,no
0006EB35A6,NA,NA,NA,NA,NA,NA,1,yes
00069D3BB1,0.0093,21,0.0084,0.0137,10,11,1,no
0006A94433,0.0184,29,0.00498,0.1142,19,10,1,no
0006F23BA0,0.0201,18,0.007,0.108,7,11,1,no
0006F20375,0.0169,22,0.0104,0.0602,14,8,1,no
0006E92725,0.0523,30,0.0163,0.2376,21,9,1,no
0006F23FC1,0.0288,26,0.0216,0.068,15,11,1,no
0006EE3538,0.0147,12,0.003,0.0891,7,5,1,no
0006C87335,0.015,21,0.0049,0.0821,14,7,1,no
0006EA2D24,0.0527,25,0.0331,0.131,17,8,1,no
0006D75739,0.0473,16,0.02067,0.2449,11,5,1,no
0006EA298F,0.4036,60,0.3843,0.4748,44,16,2,no
0006EA355C,0.4655,51,0.4589,0.4994,32,19,2,no
0006EB30BA,0.0541,25,0.028,0.2567,19,6,2,no
0006D75D2A,0.2659,72,0.2426,0.403,49,23,2,no
00069D2030,0.3013,60,0.2865,0.3651,50,10,2,no
0006EA1A80,0.4609,64,0.436,0.5913,35,8,2,no
0006F23155,0.5661,44,0.5541,0.6132,35,9,2,no
0006DFB2CF,0.3596,91,0.3323,0.5,76,15,2,no
0006F25426,0.2515,51,0.1663,0.6565,45,6,2,no
0006F2519F,NA,NA,NA,NA,NA,NA,2,yes
0006F2274A,0.0772,26,0.0632,0.1618,17,9,2,no
0006EA5C41,0.3177,45,0.3166,0.3224,39,6,2,no
0006EA2D5F,0.0991,36,0.0761,0.2341,28,8,2,no
0006C76FFA,0.2289,77,0.2232,0.2602,64,13,2,no
0006EA515D,0.4732,45,0.4672,0.4829,38,7,2,no
0006F236CF,0.2405,44,0.2438,0.2182,30,14,3,no
0006C75C20,0.1342,27,0.1271,0.1779,21,6,3,no
0006D776D1,0.1087,48,0.1093,0.1049,38,10,3,no
0006EE199D,0.1732,37,0.1741,0.1669,32,5,3,no
0006E9B60D,0.0709,28,0.0722,0.0623,19,9,3,no
0006A9489D,0.0869,26,0.0993,0.0126,21,5,3,no
0006A9EE51,0.0314,31,0.0336,0.0191,28,3,3,no
0006C88DAA,0.1937,30,0.2196,0.0528,24,6,3,no
0006F2261E,0.1645,48,0.1634,0.1731,39,9,3,no
0006D1B7FC,0.0454,29,0.0505,0.0157,26,3,3,no
0006F23C6E,0.02868,15,0.0107,0.1375,8,7,3,no
0006C77E87,0.2062,44,0.2219,0.1213,32,12,3,no
0006F1EC08,0.1769,27,0.1926,0.0717,21,6,3,no
0006C74AE3,NA,NA,NA,NA,NA,NA,3,yes
0006D7903C,0.1444,47,0.1687,0.0027,46,1,3,no
0006EE49E3,0.0256,29,0.01675,0.0917,23,6,3,no
0006DE69A4,0.0383,36,0.0232,0.1231,27,9,4,no
0006DEADF3,0.0275,39,0.0145,0.0844,21,18,4,no
0006E9D973,0.0229,24,0.0114,0.0689,8,16,4,no
0006F24D69,NA,NA,NA,NA,NA,NA,4,yes
0006D74F66,0.1076,65,0.1113,0.0906,45,20,4,no
0006F23B1E,0.1706,42,0.1639,0.1937,26,16,4,no
0006C7662C,0.0016,2,0,0.0127,0,2,4,no
0006C781EC,0.0473,33,0.0434,0.0718,19,14,4,no
0006DE9621,0.0309,67,0.0239,0.0625,50,17,4,no
00069D1852,0.0712,42,0.0649,0.1003,29,13,4,no
0006F1FA46,0.0841,38,0.0569,0.2038,23,15,4,no
0006A9440F,0.0291,25,0.0178,0.0857,11,14,4,no
0006EA32D0,0.0323,32,0.0202,0.0959,23,9,4,no
0006C88832,0.0641,33,0.0517,0.098,19,14,4,no
0006EE27FD,0.0103,18,0.0038,0.0413,6,12,4,no
0006C75311,0.0491,32,0.0563,0.0183,25,7,4,no
0006A9474D,0.0264,27,0.0218,0.0541,15,12,5,no
0006C899E8,0.0261,27,0.0182,0.0675,17,10,5,no
0006F2481C,0.0482,41,0.0289,0.1502,26,15,5,no
0006F2286F,0.0095,8,0.0002,0.0817,2,6,5,no
0006DFB3BF,0.0144,28,0.0134,0.0208,17,11,5,no
00069D10B5,0.0166,32,0.0099,0.061,25,7,5,no
0006D11E2D,NA,NA,NA,NA,NA,NA,5,yes
0006E92EE4,0.05863,59,0.0487,0.1345,40,19,5,no
0006EB3382,0.0898,61,0.0746,0.1998,43,18,5,no
0006EE192D,0.1238,66,0.0897,0.3172,47,19,5,no
0006C7597D,0.0218,39,0.0115,0.0887,24,15,5,no
0006EA2581,0.05476,58,0.0516,0.073,45,13,5,no
0006C75771,0.1554,71,0.1189,0.3643,55,16,5,no
0006EB3C37,0.0327,50,0.0252,0.0748,28,22,5,no
0006F2449B,0.0638,38,0.0196,0.3343,28,19,5,no
0006F25424,0.1503,57,0.1296,0.2788,42,15,5,no
0006EA3ED8,0.2205,74,0.1779,0.3965,51,23,6,no
0006A94348,0.0489,84,0.0531,0.0317,77,7,6,no
0006A942F5,0.0886,81,0.0854,0.1051,65,16,6,no
0006C8918D,0.0853,60,0.0872,0.0771,47,13,6,no
0006DEC2AD,0.0731,50,0.0806,0.0456,31,19,6,no
0006F23A76,NA,NA,NA,NA,NA,NA,6,yes
0006E9D96D,0.0235,25,0.0228,0.0264,20,5,6,no
0006A9465F,0.1617,63,0.1524,0.2065,35,28,6,no
0006E94152,0.1952,56,0.1705,0.3274,42,14,6,no
0006C7C86E,0.0746,64,0.0798,0.0504,44,20,6,no
0006F240E3,0.1483,38,0.1507,0.1376,21,17,6,no
0006A94559,0.0395,44,0.278,0.1007,29,15,6,no
0006A9421F,0.1041,63,0.1104,0.0749,42,21,6,no
0006A94526,0.1166,67,0.1378,0.0521,42,25,6,no
00069D3E46,0.1581,42,0.1292,0.283,29,13,6,no
0006EA73AD,0.1276,69,0.1216,0.1594,49,20,6,no
0006A944DB,0.1046,45,0.0821,0.2242,35,10,7,no
0006C866DD,0.2387,50,0.2303,0.2921,32,18,7,no
0006F22572,0.0372,22,0.0333,0.0562,14,8,7,no
0006C7841D,0.0755,33,0.0433,0.2047,20,13,7,no
0006C75A98,0.0217,12,0.0061,0.0906,7,5,7,no
0006A94313,0.0952,42,0.0799,0.1699,34,8,7,no
0006E9EB6F,0.1744,61,0.1635,0.2207,43,18,7,no
0006E9EB7C,0.0374,27,0.0297,0.0721,15,12,7,no
0006E93493,0.0482,44,0.0333,0.1165,26,18,7,no
0006F23306,0.4427,19,0.0009,0.2285,9,10,7,no
0006C7566C,0.1713,49,0.1753,0.1529,36,13,7,no
0006F245A1,0.037,11,0.0014,0.2186,6,5,7,no
0006DECB78,0.0068,7,0.0069,0.0061,4,3,7,no
0006EA3C24,0.0355,37,0.0204,0.106,24,13,7,no
0006C7576F,NA,NA,NA,NA,NA,NA,7,yes
0006DF87B8,0.0773,57,0.0863,0.0341,48,8,7,no
0006C751CA,0.0204,17,0.0001,0.0938,2,15,8,no
0006C882AE,0.0897,25,0.0841,0.1158,14,11,8,no
0006EE23EF,0.0275,45,0.0173,0.0747,28,17,8,no
0006EE2ABA,0.0704,38,0.0618,0.1025,27,11,8,no
0006E9055F,0.0802,44,0.0644,0.1589,17,27,8,no
0006C8B1B6,0.0101,17,0,0.0516,0,17,8,no
0006C7E968,0.0269,13,0.0033,0.157,3,10,8,no
0006EA526C,0.0438,31,0.0201,0.1611,15,16,8,no
0006F1E3F4,0.0177,21,0.0087,0.0582,6,15,8,no
0006F2531C,NA,NA,NA,NA,NA,NA,8,yes
00069D1745,0.0415,37,0.0093,0.1697,18,19,8,no
0006A947CA,0.0399,27,0.022,0.1399,15,12,8,no
0006A9447B,0.0377,40,0.0235,0.1003,22,18,8,no
0006F22A75,0.0405,32,0.0131,0.1844,12,20,8,no
0006F25504,0.0538,57,0.1947,0.2136,37,20,8,no
0006C88830,0.0047,3,0.0052,0.0024,2,1,8,no
0006E90942,0.0795,45,0.065,0.1559,32,13,9,no
0006E9EBF1,0.4647,51,0.4588,0.4924,41,10,9,no
0006E94D43,NA,NA,NA,NA,NA,NA,9,yes
0006A940CB,0.2703,54,0.2525,0.3579,42,12,9,no
0006C88E95,0.1612,50,0.135,0.3384,37,13,9,no
0006A943A9,0.133,62,0.1186,0.2077,47,15,9,no
0006E942C5,0.1971,58,0.1767,0.3208,48,10,9,no
0006E906DE,0.0696,47,0.0547,0.1394,31,16,9,no
0006C74CD8,0.2269,53,0.1875,0.3735,40,13,9,no
0006F1E398,0.0643,48,0.0619,0.081,38,10,9,no
0006F23BFF,0.0604,36,0.03571,0.1914,29,7,9,no
0006D78BD3,0.2531,59,0.214,0.4373,49,10,9,no
0006F22AD4,0.2025,51,0.1859,0.2806,42,9,9,no
0006C7537C,0.2681,68,0.2752,0.2321,45,23,9,no
0006A943D8,0.2299,45,0.2116,0.3351,37,8,9,no
0006F24BAA,0.3394,50,0.341,0.3287,40,10,9,no
0006E91947,0.1869,42,0.1497,0.3982,31,11,10,no
