trial	strength	centrality	degree	group.size	PC1_nov	PC2_nov	PC3_nov	PC1_Y	PC2_Y	mean.dust	sd.dust	min.ta	max.ta	dawn.ta	delta.ta	sex	soc_dir
1	8.2	1	14	3	-0.206747487	-0.771352297	-1.010939416	1.784998242	0.1717007	0.0289	0.0197	16.9	31.1	NA	14.2	M	NA
2	4.05	0.8232287	10	6	-1.004483344	-1.308504168	-0.862202799	-1.609714647	2.429121798	0.3089	0.1585	12.6	32.9	NA	20.3	M	NA
3	0.5595238	0.1572344	4	6.5	-0.518203118	1.195817134	0.288019403	-0.269160907	2.688689337	0.1221	0.0709	14.2	32.6	15.4	18.4	F	neg
4	3.5285714	0.7544646	12	8.5	1.511676652	-0.959992079	0.041614328	1.679683057	0.254813766	0.0525	0.0431	17.6	31.9	20.7	14.3	F	pos
5	6.566667	0.9690927	12	10.5	0.433494296	-0.549124438	-0.182239156	-1.935135161	2.62801153	0.0595	0.0488	13.5	30.2	15.1	16.7	M	neg
6	3.347619	0.6668095	13	6.5	1.822757458	1.805084914	1.728372955	-1.401727542	2.703956013	0.111	0.0574	13.4	31.3	13.1	17.9	F	pos
7	1.9900794	0.6867745	6	4	0.19854058	-0.747047805	0.244621754	-2.769145202	1.389272934	0.1069	0.1137	14.8	36.8	14.5	22	M	pos
8	4.662302	0.7638925	13	15.5	-0.268009051	-1.943299537	0.197056517	1.7789963	-0.216706798	0.0403	0.0247	10.4	29.6	14.2	19.2	F	neg
9	4.3392857	0.71727984	11	7.5	0.206453933	0.519013233	-3.32922271	0.861583028	-0.824480228	0.2013	0.1131	10.6	25.2	13	14.6	M	neg
10	0	0.14761385	0	7	1.214085913	-0.1730111	1.136644264	0.696092387	0.315238553	0.1606	0.0606	8	23.2	9.5	15.2	F	neg
11	4.267857	0.7090552	11	12.5	0.35936583	-0.102768332	0.33515045	0.484204835	-0.110252765	0.4174	0.149	3.5	18.9	3.2	15.4	M	neg
12	1.669048	0.39672936	7	8.5	1.280225525	0.139443758	-4.038748126	-2.598701178	-3.751434837	0.2915	0.0953	5.9	20.6	9.3	14.7	F	pos
