Trial,ID,order_hb,arena_hb,act_hb,exp_hb,idate.x,JDate_hb,order_ym,arena_ym,act_ym,soc_ym,idate.y,JDate_ym,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,p.zero,sex_pz
3,0006A9489D,6,2,-3.11018985186367,0.816128907442521,,,10,A,-1.13463466218255,0.022350328465547,2014-07-28,209,F,14.2,32.6,15.4,3,8.4,37.1,0.0869,26,0.0993,0.0126,21,5,no,F
3,0006A9EE51,7,1,-2.10963028484055,-0.786458038551128,,,13,B,1.62067080886449,-0.169653097408084,2014-07-28,209,M,14.2,32.6,15.4,5,7.8,37.4,0.0314,31,0.0336,0.0191,28,3,no,F
3,0006C75C20,2,2,-0.25559124817317,-0.683927864739232,,,3,B,-0.757610991958044,-0.460409089576144,2014-07-28,209,F,14.2,32.6,15.4,5,8.7,38.4,0.1342,27,0.1271,0.1779,21,6,no,F
3,0006C77E87,12,2,2.17016342665348,1.13777793942325,,,2,A,1.08847637767815,0.967350159685946,2014-07-28,209,F,14.2,32.6,15.4,1,8.8,39.5,0.2062,44,0.2219,0.1213,32,12,no,F
3,0006C88DAA,8,2,1.00673263935269,-0.22158397152787,,,14,A,-1.06769228186645,1.19153402006536,2014-07-28,209,F,14.2,32.6,15.4,5,9.8,38.4,0.1937,30,0.2196,0.0528,24,6,no,F
3,0006D1B7FC,10,2,0.892361791091342,0.396725193275365,,,11,B,2.27523900675178,-2.25088383362354,2014-07-28,209,M,14.2,32.6,15.4,5,8.4,39.2,0.0454,29,0.0505,0.0157,26,3,no,F
3,0006D776D1,3,1,-3.47893386299893,-0.27209596269707,,,8,A,1.770387912783,1.3689444232789,2014-07-28,209,F,14.2,32.6,15.4,5,9.3,37.6,0.1087,48,0.1093,0.1049,38,10,no,F
3,0006D7903C,15,1,0.63046999696033,-1.2591524601937,,,16,A,0.920937543096288,2.10248982318912,2014-07-28,209,M,14.2,32.6,15.4,3,9,39.1,0.1444,47,0.1687,0.0027,46,1,no,F
3,0006E9B60D,5,1,-0.1678468343423,-0.281525304292776,,,9,B,-1.04050793555003,-0.0083997348588889,2014-07-28,209,M,14.2,32.6,15.4,5,9.5,39.3,0.0709,28,0.0722,0.0623,19,9,no,F
3,0006EE199D,4,2,1.04681938867334,0.665616933703664,,,4,A,-0.973026767799391,1.36000005092008,2014-07-28,209,M,14.2,32.6,15.4,2,7.8,37.8,0.1732,37,0.1741,0.1669,32,5,no,F
3,0006EE49E3,16,2,0.503540029405426,-0.0832495922329233,,,1,B,2.95265557120263,1.11147662236419,2014-07-28,209,M,14.2,32.6,15.4,1,7.6,37.6,0.0256,29,0.01675,0.0917,23,6,no,F
3,0006F1EC08,13,1,-4.06399808776697,0.103246928075822,,,15,B,-0.353908162306091,0.45735229329748,2014-07-28,209,F,14.2,32.6,15.4,3,9,37.6,0.1769,27,0.1926,0.0717,21,6,no,F
3,0006F2261E,9,1,2.307906964657,0.0450827897835571,,,7,B,-1.6834248034456,0.271651116852386,2014-07-28,209,F,14.2,32.6,15.4,5,8.9,40.6,0.1645,48,0.1634,0.1731,39,9,no,F
3,0006F236CF,1,1,0.399913300226125,-0.878834117589738,,,6,A,0.601099299216875,1.67258968416731,2014-07-28,209,M,14.2,32.6,15.4,1,8.8,39.9,0.2405,44,0.2438,0.2182,30,14,no,F
3,0006F23C6E,11,1,-0.470446409524024,-1.30303478239473,,,5,B,1.11563884790697,-0.222323824692024,2014-07-28,209,M,14.2,32.6,15.4,5,9.2,37.9,0.02868,15,0.0107,0.1375,8,7,no,F
4,00069D1852,10,2,-0.774319463459022,-2.00290182524515,2014-08-06,218,1,B,0.126491059456887,-1.34038134803244,2014-08-07,219,M,17.6,31.9,20.7,7,8.2,39.3,0.0712,42,0.0649,0.1003,29,13,no,F
4,0006A9440F,12,2,-3.84052290975785,-0.0377821307444897,2014-08-06,218,11,B,3.0677683548355,1.40992017638076,2014-08-08,220,M,17.6,31.9,20.7,6,7.2,37.4,0.0291,25,0.0178,0.0857,11,14,no,F
4,0006C75311,16,2,-0.936166181991944,0.772049832956447,2014-08-06,218,6,A,-1.40519801980169,-0.0249705666151064,2014-08-08,220,M,17.6,31.9,20.7,7,9.5,39.2,0.0491,32,0.0563,0.0183,25,7,no,F
4,0006C7662C,7,1,1.79211857465238,0.550974752193664,2014-08-06,218,16,A,-1.72239855012184,0.209537955746092,2014-08-08,220,M,17.6,31.9,20.7,3,8.1,36.7,0.0016,2,0,0.0127,0,2,no,F
4,0006C781EC,8,2,-0.862740071283092,-1.1069331565267,2014-08-06,218,8,A,0.146616851439449,-0.720661147141194,2014-08-08,220,F,17.6,31.9,20.7,7,8.9,39.5,0.0473,33,0.0434,0.0718,19,14,no,F
4,0006C88832,14,2,1.16479291030067,0.108305737606189,2014-08-06,218,13,B,-0.5881631124838,0.897778351699355,2014-08-08,220,M,17.6,31.9,20.7,7,9.7,37.6,0.0641,33,0.0517,0.098,19,14,no,F
