ID,order_hb,arena_hb,act_hb,exp_hb,idate.x,JDate_hb,order_ym,arena_ym,act_ym,soc_ym,idate.y,JDate_ym,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa,Trial,p.zero,total.inf.var.M,total.inf.var.F,total.inf.M,total.inf.F
0006C74AE3,14,2,0.474790030665084,1.02859161516634,,,12,A,0.340290711516124,2.33206359770399,2014-07-28,209,F,14.2,32.6,15.4,5,9.1,38.6,3,yes,0.00657521165714286,0.00197922142857143,0.09501,0.153014285714286
0006F24D69,4,2,-1.61103832861956,-0.860780768270181,2014-08-05,217,9,B,-1.47463143594169,0.278964320464699,2014-08-08,220,F,17.6,31.9,20.7,7,10.2,38.9,4,yes,0.000594781428571429,0.00275836904761905,0.0386142857142857,0.0723285714285714
0006D11E2D,7,2,-0.526650947278812,-0.477802726015142,2014-08-09,221,12,A,2.92216541406064,1.11915861534979,2014-08-10,222,M,13.5,30.2,15.1,15,8.2,39.7,5,yes,0.00223412718095238,0.00229823896964286,0.0767085714285714,0.04440375
0006F23A76,6,1,-1.85930941125931,1.49551779727835,2014-08-11,223,4,B,2.13958471408283,1.31632976864681,2014-08-14,226,F,13.4,31.3,13.1,9,7.6,39.7,6,yes,0.00470587714285714,0.00209594952380952,0.1049,0.118057142857143
0006C7576F,15,2,-0.202303208995329,-0.81358814604414,2014-08-15,227,12,A,1.31719548511881,1.50262309242316,2014-08-17,229,M,14.8,36.8,14.5,4,8.6,39.4,7,yes,0.0239202228571429,0.00513763267857143,0.0953428571428571,0.1170125
0006F2531C,10,1,0.435129852247126,-2.36064037909738,2014-08-27,239,16,A,-1.81087150559225,-0.064543002253335,2014-08-28,240,F,10.4,29.6,14.2,16,8.6,39,8,yes,0.000730463611111111,0.000181646666666667,0.0493111111111111,0.0268333333333333
0006E94D43,3,2,-0.314820068679596,0.352409156892147,2014-09-02,245,9,A,-0.878505893714915,-0.566106002405571,2014-09-04,247,M,10.6,25.2,13,9,7.9,38.1,9,yes,0.0156232128571429,0.0115869983928571,0.218957142857143,0.1859125
0006EE21E9,15,1,-1.12654501307414,-0.547788881208763,2014-09-06,249,6,B,0.0792956671114663,-0.0499649909119629,2014-09-07,250,F,8,23.2,9.5,13,14.6,38,10,yes,0.002975755,0.00497512,0.1496,0.1772
0006C75ECE,3,1,-0.398894844928913,-0.170223649092336,2014-09-08,251,16,B,-0.421255769050051,-0.0600569213299134,2014-09-10,253,M,3.5,18.9,3.2,12,13,37.6,11,yes,0.0176215906666667,0.0227827419444444,0.353666666666667,0.459822222222222
0006E93571,9,1,-1.76128436540174,0.841976318874052,2014-09-13,256,16,B,2.33738210064682,-3.20300709769169,2014-09-14,257,F,5.9,20.6,9.3,9,12.9,38.7,12,yes,0.0112942969642857,0.00660635766666667,0.2750375,0.326083333333333
